NUMBERS
0 0 1
0 1 0

1 0 1
1 1 0

2 0 0.962264
2 1 0.0377358

12086
DUMMY	0.0269652	0.00611993	0.966915	0
$	1.72268e-07	1.66505e-12	1	0.997155
it	8.96281e-12	2.07229e-16	1	0.997267
he	0.999873	0.000124687	2.1637e-06	0.663715
him	0.999958	4.13569e-05	7.61676e-07	0.664397
his	1	0	0	0.664806
she	2.86191e-08	1	6.9661e-10	2.1478
her	6.97797e-07	0.999999	3.24633e-08	2.14779
them	1.15242e-07	1.45321e-16	1	0.99719
i	2.42188e-05	2.23607e-05	0.999953	0.980127
you	2.3426e-08	5.06386e-08	1	0.997217
they	1.78894e-09	3.96768e-14	1	0.997265
me	2.45887e-05	1.8777e-05	0.999957	0.981019
that	0.00109969	0.000525533	0.998375	0.693911
the	0.00620438	0.00103576	0.99276	0.274973
to	0.001381	0.000371703	0.998247	0.673634
at	0.00727025	0.00184971	0.99088	0.205185
than	0.00158029	0.00013298	0.998287	0.682131
am	0.00273773	6.08995e-05	0.997201	0.574458
form	0.00142461	8.83798e-05	0.998487	0.709533
asbestos	0.00217565	5.95719e-06	0.997818	0.64117
used	0.003266	0.000291513	0.996442	0.497122
cigarette	0.00319022	0.00134626	0.995464	0.424655
high	0.00674764	0.0012571	0.991995	0.243788
percentage	0.00193197	3.32899e-05	0.998035	0.660337
group	0.000323952	3.1667e-05	0.999644	0.900468
workers	0.000905378	9.17124e-05	0.999003	0.782167
more	0.00357545	0.000420881	0.996004	0.460314
30	0.0013546	0.000274916	0.99837	0.689301
years	7.81938e-07	2.54073e-09	0.999999	0.996816
researchers	8.87419e-06	0.00089383	0.999097	0.865924
reported	0.00266882	0.000915767	0.996415	0.490769
s	0.00624234	0.00144712	0.992311	0.25507
fiber	0.000143266	6.93638e-06	0.99985	0.949955
show	0.00337211	0.00102801	0.9956	0.428532
up	0.00137997	4.86831e-05	0.998571	0.723348
said	0.884407	0.0605183	0.0550751	0.334817
lorillard	5.84277e-06	2.26472e-06	0.999992	0.99349
inc.	5.72893e-05	4.39696e-05	0.999899	0.963708
unit	0.000244283	1.00582e-05	0.999746	0.924275
york-based	2.62646e-05	1.07622e-07	0.999974	0.986752
loews	6.92803e-05	2.0717e-07	0.999931	0.972986
corp.	6.51353e-05	1.38827e-05	0.999921	0.969433
preliminary	0.00244422	0.00034523	0.997211	0.560787
